


at:8	acertos:47.79	micro:0.55	macro:0.45	2250 selecionados	NaiveBayes
at:8	acertos:47.79	micro:0.55	macro:0.45	2250 selecionados	NaiveBayesSimple
at:8	acertos:59.76	micro:0.68	macro:0.56	2250 selecionados	J48
at:8	acertos:71.6	micro:0.8	macro:0.7	2250 selecionados	MultilayerPerceptron



at:8	acertos:61.33	micro:0.61	macro:0.57	2350 selecionados	SMO
at:8	acertos:63.14	micro:0.71	macro:0.62	2350 selecionados	IBk
at:8	acertos:64.23	micro:0.71	macro:0.63	2350 selecionados	IBk
at:8	acertos:65.08	micro:0.71	macro:0.63	2350 selecionados	IBk
at:8	acertos:65.92	micro:0.72	macro:0.65	2350 selecionados	IBk
at:8	acertos:65.92	micro:0.72	macro:0.65	2350 selecionados	IBk
at:8	acertos:65.92	micro:0.72	macro:0.65	2350 selecionados	IBk
at:8	acertos:66.47	micro:0.72	macro:0.65	2350 selecionados	IBk
at:8	acertos:66.34	micro:0.72	macro:0.65	2350 selecionados	IBk
at:8	acertos:65.26	micro:0.71	macro:0.65	2350 selecionados	IBk
at:8	acertos:47.85	micro:0.55	macro:0.45	2350 selecionados	NaiveBayes
at:8	acertos:47.79	micro:0.55	macro:0.45	2350 selecionados	NaiveBayesSimple
at:8	acertos:59.58	micro:0.68	macro:0.57	2350 selecionados	J48
at:8	acertos:71.72	micro:0.8	macro:0.7	2350 selecionados	MultilayerPerceptron



at:8	acertos:61.21	micro:0.6	macro:0.57	2450 selecionados	SMO
at:8	acertos:62.96	micro:0.71	macro:0.62	2450 selecionados	IBk
at:8	acertos:64.17	micro:0.71	macro:0.63	2450 selecionados	IBk
at:8	acertos:65.14	micro:0.71	macro:0.63	2450 selecionados	IBk
at:8	acertos:65.92	micro:0.72	macro:0.65	2450 selecionados	IBk
at:8	acertos:65.8	micro:0.71	macro:0.65	2450 selecionados	IBk
at:8	acertos:66.04	micro:0.72	macro:0.65	2450 selecionados	IBk
at:8	acertos:66.59	micro:0.72	macro:0.65	2450 selecionados	IBk
at:8	acertos:66.4	micro:0.72	macro:0.65	2450 selecionados	IBk
at:8	acertos:65.2	micro:0.7	macro:0.65	2450 selecionados	IBk
at:8	acertos:47.92	micro:0.55	macro:0.45	2450 selecionados	NaiveBayes
at:8	acertos:47.85	micro:0.55	macro:0.45	2450 selecionados	NaiveBayesSimple
at:8	acertos:59.82	micro:0.68	macro:0.57	2450 selecionados	J48
at:8	acertos:71.9	micro:0.8	macro:0.71	2450 selecionados	MultilayerPerceptron



at:8	acertos:61.27	micro:0.6	macro:0.57	2550 selecionados	SMO
at:8	acertos:63.02	micro:0.71	macro:0.62	2550 selecionados	IBk
at:8	acertos:64.17	micro:0.71	macro:0.63	2550 selecionados	IBk
at:8	acertos:65.08	micro:0.71	macro:0.63	2550 selecionados	IBk
at:8	acertos:65.92	micro:0.72	macro:0.65	2550 selecionados	IBk
at:8	acertos:65.86	micro:0.72	macro:0.65	2550 selecionados	IBk
at:8	acertos:65.98	micro:0.72	macro:0.65	2550 selecionados	IBk
at:8	acertos:66.53	micro:0.72	macro:0.65	2550 selecionados	IBk
