


at:11	acertos:81.84	micro:0.73	macro:0.58	2150 selecionados	IBk
at:11	acertos:81.74	micro:0.73	macro:0.58	2150 selecionados	IBk
at:11	acertos:82.17	micro:0.74	macro:0.59	2150 selecionados	IBk
at:11	acertos:82.13	micro:0.74	macro:0.58	2150 selecionados	IBk
at:11	acertos:81.74	micro:0.73	macro:0.58	2150 selecionados	IBk
at:11	acertos:56.4	micro:0.5	macro:0.39	2150 selecionados	NaiveBayes
at:11	acertos:56.4	micro:0.5	macro:0.39	2150 selecionados	NaiveBayesSimple
at:11	acertos:77.5	micro:0.68	macro:0.52	2150 selecionados	J48
at:11	acertos:82.49	micro:0.74	macro:0.6	2150 selecionados	MultilayerPerceptron



at:11	acertos:64.84	micro:0.44	macro:0.34	2250 selecionados	SMO
at:11	acertos:79.37	micro:0.7	macro:0.54	2250 selecionados	IBk
at:11	acertos:79.83	micro:0.7	macro:0.55	2250 selecionados	IBk
at:11	acertos:80.8	micro:0.71	macro:0.57	2250 selecionados	IBk
at:11	acertos:81.63	micro:0.73	macro:0.58	2250 selecionados	IBk
at:11	acertos:81.81	micro:0.73	macro:0.58	2250 selecionados	IBk
at:11	acertos:81.74	micro:0.73	macro:0.58	2250 selecionados	IBk
at:11	acertos:82.17	micro:0.74	macro:0.59	2250 selecionados	IBk
at:11	acertos:82.1	micro:0.73	macro:0.58	2250 selecionados	IBk
at:11	acertos:81.74	micro:0.73	macro:0.58	2250 selecionados	IBk
at:11	acertos:56.37	micro:0.5	macro:0.39	2250 selecionados	NaiveBayes
at:11	acertos:56.44	micro:0.5	macro:0.39	2250 selecionados	NaiveBayesSimple
at:11	acertos:77.43	micro:0.68	macro:0.52	2250 selecionados	J48
at:11	acertos:82.31	micro:0.74	macro:0.6	2250 selecionados	MultilayerPerceptron



at:11	acertos:64.87	micro:0.44	macro:0.34	2350 selecionados	SMO
at:11	acertos:79.33	micro:0.7	macro:0.54	2350 selecionados	IBk
at:11	acertos:79.83	micro:0.7	macro:0.55	2350 selecionados	IBk
at:11	acertos:80.84	micro:0.72	macro:0.57	2350 selecionados	IBk
at:11	acertos:81.59	micro:0.73	macro:0.58	2350 selecionados	IBk
at:11	acertos:81.81	micro:0.73	macro:0.58	2350 selecionados	IBk
at:11	acertos:81.74	micro:0.73	macro:0.58	2350 selecionados	IBk
at:11	acertos:82.2	micro:0.74	macro:0.59	2350 selecionados	IBk
at:11	acertos:82.1	micro:0.73	macro:0.58	2350 selecionados	IBk
at:11	acertos:81.7	micro:0.73	macro:0.58	2350 selecionados	IBk
at:11	acertos:56.3	micro:0.5	macro:0.39	2350 selecionados	NaiveBayes
